message_text,category,subcategory,language
TRAI: All mobile users are advised to verify their active connections via Sanchar Saathi portal https://sancharsaathi.gov.in - TRAI,Digital_Arrest_Legitimate,Service_Notification,English
"Dear Driver, your DL renewal application 55667788 is submitted successfully. Visit RTO on your appointment date. - SARATHI",Echallan_Legitimate,VAHAN Notification,English
Your Driving License DL-XXXXX2026 is ready for dispatch. Track your speed post at www.indiapost.gov.in. - SARATHI,Echallan_Legitimate,VAHAN Notification,English
Appointment for Driving License Test for App No. 9876543 is scheduled on 05-Mar-2026 at 10:30 AM at New Delhi RTO. - SARATHI,Echallan_Legitimate,VAHAN Notification,English
Driving License renewal for 9876543210 is rejected due to incomplete documents. Check details at sarathi.parivahan.gov.in.,Echallan_Legitimate,VAHAN Notification,English
Money Transfer: Rs 500.00 debited from SBI A/c ...4321 to Rahul (rahul@okaxis) on 28/02/2026. Ref No: 123456789012. Call 1800111101 if not done by you.,KYC_Legitimate,UPI Confirmation,English
"Dear Customer, the balance in your SBI Account ending 2233 is Rs 12,450.50 as of 28-02-26. Download YONO SBI for more details.",KYC_Legitimate,Balance Alert,English
"Your SBI Account XX5566 is credited with Rs 10,000.00 via IMPS from SHRI RAM (Ref: 6059887766). Avail Bal: Rs 15,400.00.",KYC_Legitimate,Credit Transaction,English
"Dear Customer, KYC compliance for your SBI A/c XX5678 has been updated successfully on 28/02/2026. - State Bank of India",KYC_Legitimate,KYC Confirmation,English
Your application for 'Birth Certificate' on ServicePlus portal is under process. Application ID: 2026/SP/123. - GOVIND,Digital_Arrest_Legitimate,Service_Notification,English
Cashback of Rs. 10 credited to your PhonePe Gift Balance for your transaction.,Lottery_Legitimate,PhonePe_Cashback,English
Cashback of Rs 5 credited for your recent transaction at Dairy Parlour.,Lottery_Legitimate,PhonePe_Cashback,English
You have received a cashback of Rs. 10 on PhonePe for your Mobile Recharge of 9876543210. Check your History.,Lottery_Legitimate,PhonePe_Cashback,English
PhonePe: Rs. 50 cashback credited to your wallet for the Refer and Earn program.,Lottery_Legitimate,PhonePe_Cashback,English
Congrats! You've won Rs 20 cashback on PhonePe for your Credit Card bill payment.,Lottery_Legitimate,PhonePe_Cashback,English
You have received a cashback of Rs. 15 on PhonePe for your LPG Cylinder booking.,Lottery_Legitimate,PhonePe_Cashback,English
Prepaid Meter Alert: Final notification. Power supply for Acc 55667788 disconnected due to Nil balance. Recharge to restore. -TSSPDCL,Electricity_Legitimate,Smart_Meter_Notification,English
Prepaid Alert: Your meter 8164969558 has exhausted 80% of recharge amount. Remaining Balance: Rs. 120.00. Please recharge. -TSSPDCL,Electricity_Legitimate,Smart_Meter_Notification,English
"You are under digital arrest. Do not disconnect the camera. If you tell anyone, you will face 5 years in jail.",Digital_Arrest,Isolation,English
Cyber Crime Unit: Your computer has been hacked and used for crime. You are under digital arrest.,Digital_Arrest,Hacking_Claim,English
You are under digital house arrest. Do not use your phone to call anyone or you will be jailed.,Digital_Arrest,House_Arrest,English
Your passport is being canceled. You must provide a security deposit to stop the process.,Digital_Arrest,Passport_Cancel,English
Narcotics Bureau: We have a warrant for your arrest. Cooperate with the digital investigation.,Digital_Arrest,NCB_Spoof,English
Your Aadhaar is being used for human trafficking. You must pay Rs 5 Lakhs for clearance.,Digital_Arrest,Trafficking_Claim,English
CBI Mumbai: Your identity has been misused for crime. Transfer your savings for verification.,Digital_Arrest,Identity_Misuse,English
Federal Police: Your social media account is used for illegal activity. You are under arrest.,Digital_Arrest,Social_Media_Crime,English
I am joining you to a hearing of the Supreme Court for your bail. Please wait for the Judge.,Digital_Arrest,Fake_Court,English
"I am Vijay Khanna from CBI, Mumbai. A parcel containing 5 passports and 200g of MDMA has been seized in your name.",Digital_Arrest,Narcotics_Claim,English
Your mobile number is going to be blocked in 2 hours. Press '9' to talk to the police.,Digital_Arrest,Initial_Hook,English
Surveillance Rules and Regulations: You are under 24/7 video monitoring. No food or sleep without permission.,Digital_Arrest,Total_Control,English
Customs Department: Your Aadhaar was used to book a parcel to London containing illegal items.,Digital_Arrest,Customs_Fraud,English
CBI Mumbai: Your PAN is linked to a drug case. Stay on camera or we will arrest you at home.,Digital_Arrest,PAN_Link,English
Supreme Court Hearing: Press 9 to join the virtual courtroom for your immediate bail application.,Digital_Arrest,Virtual_Court,English
CBI Officer Rahul Gupta: You are the prime suspect in an international drug smuggling case. Pay Rs 2 Lakhs for bail.,Digital_Arrest,CBI_Spoof,English
Narcotics Control Bureau: A parcel from Cambodia in your name contains illegal substances. Call us.,Digital_Arrest,NCB_Spoof,English
"A bank account in your name at Canara Bank, Mumbai, is being used for money laundering with Jet Airways.",Digital_Arrest,Money_Laundering,English
"Dear Customer, Your KYC is incomplete. Call 1800-XXX-XXXX to verify and avoid account block.",KYC_Suspension,Call_Back,English
"Dear Customer Your Electricity power will be disconnected Tonight at 8.30 pm from electricity office. Because your previous month bill was not update, please immediately contact with our electricity officer 8240471159 Thank you.",Electricity_Scam,Disconnection_830,English
Dear customer your electricity power will be disconnected by tonight. Last month bill was not updated. Immediately contact our officer 9054XXXXX -- BrentsElectricity,Electricity_Scam,Disconnection_Brents,English
Electricity power will be cut tonight. Last month bill update required. Contact officer 9054XXXXXX.,Electricity_Scam,Disconnection,English
Urgent Electricity Alert: Disconnection tonight at 9:30 PM. Bill not updated in system. Call [Number].,Electricity_Scam,System_Update,English
"MSEB Alert: Dear Customer, Your power supply will be cut off tonight at 9:30 PM. Call MSEB officer [Number].",Electricity_Scam,MSEB_Spoof,English
"Dear Consumer your electricity power will be disconnected. Tonight at 9.30 pm from electricity office, because your previous month's bill was not updated. Please immediately contact our electricity officer call 91538xxxxx. Thank you.",Electricity_Scam,Disconnection_930,English
"Dear Customer, Your power will be disconnected tonight. Pay Rs 10 on this link for immediate update.",Electricity_Scam,Token_Payment,English
TNEB Notice: Your previous bill is unpaid. Power disconnection tonight at 10 PM. Contact 8240XXXXXX.,Electricity_Scam,TNEB_Spoof,English
ALERT: Your PAN card is not linked with your account. Account will be frozen in 24hrs. Update now at [Link],KYC_Suspension,PAN_Linking,English
PAN card update mandatory for all users. Failure to update will result in account freeze.,KYC_Suspension,Mandatory_Update,English
"IndiaPost Payment Bank KYC login, Dear user your India post payment bank account has been blocked today please updated your PAN Card immediately click here the link- http//surl.li/iccpf",KYC_Suspension,India_Post_KYC,English
India Post: Address verification required for your parcel #54321. Click here.,Courier_Scam,India_Post,English
"As per TRAI mandate, your mobile connection KYC is due. Please visit your nearest operator store with original ID. No fee required. - VM-TCCH",Digital_Arrest_Legitimate,Service_Notification,English
TRAI Alert: Do not respond to calls from unknown international numbers starting with +92 or +1. Stay safe from cyber fraud. - TRAI,Digital_Arrest_Legitimate,Service_Notification,English
TRAI: 5G services are being rolled out. Check with your operator for compatibility. No separate SIM required. - TRAI,Digital_Arrest_Legitimate,Service_Notification,English
"Refund for AY 2025-26 has been sent to your bank. If not received within 7 days, contact SBI at 18004259760. - IT Dept",Tax_Legitimate,Refund_Notification,English
IT Dept: Reminder! Last date to file ITR for AY 2025-26 is 31st July 2026. Avoid late fee and file early. - Income Tax Dept,Tax_Legitimate,General_Notification,English
"Refund of Rs. 12,450 for AY 2025-26 has been credited to your bank account ending in 9876 on 28-Feb-2026. - CPC Income Tax Dept",Tax_Legitimate,Refund_Notification,English
Aadhaar: An update request for your Address (URN: 1234/5678/90) has been submitted. Check status on UIDAI website. - UIDAI,Digital_Arrest_Legitimate,Aadhaar_Update,English
UIDAI: Ensure your mobile number is linked to Aadhaar to avail online services. Visit nearest Aadhaar Kendra. - UIDAI,Digital_Arrest_Legitimate,Aadhaar_Update,English
Your Aadhaar Biometrics have been LOCKED successfully. You can unlock them using mAadhaar or the UIDAI website. - UIDAI,Digital_Arrest_Legitimate,Security_Alert,English
OTP for Aadhaar authentication is 987654. It is valid for 10 minutes. Do not share this with anyone. - UIDAI,Digital_Arrest_Legitimate,OTP_Alert,English
UIDAI: Download your E-Aadhaar from https://eaadhaar.uidai.gov.in using your EID/UID. Do not use public computers. - UIDAI,Digital_Arrest_Legitimate,Aadhaar_Update,English
Your Aadhaar (XXXX-XXXX-1234) has been successfully updated. Please download the latest version from https://myaadhaar.uidai.gov.in - UIDAI,Digital_Arrest_Legitimate,Aadhaar_Update,English
Unstop: Reminder! Your coding challenge for 'Flipkart Grid 6.0' starts in 1 hour. All the best! - UNSTOP,Job_Legitimate,Assessment_Alert,English
"Hello, I'm from Global Recruitment. We have a part-time job that only takes 10-20 minutes a day. Interested?",Job_Scam,Initial_Contact,English
Your application on Indeed has been reviewed. Contact us on WhatsApp for your job description.,Job_Scam,Indeed_Spoof,English
Your request for Address Change in RC for Vehicle TS09ET1234 has been received. Track status at vahan.parivahan.gov.in.,Echallan_Legitimate,VAHAN Notification,English
Vehicle Pollution Under Control (PUC) for DL1CBA4321 is expiring on 05-Mar-26. Get it tested at nearest center. - RTO India,Echallan_Legitimate,Registration Renewal,English
Your request for High Security Registration Plate (HSRP) for RJ14CB2233 is booked. Date: 04-Mar-2026. - RTO Rajasthan,Echallan_Legitimate,VAHAN Notification,English
Your Vehicle MH12EF9012 Fitness Certificate is valid till 10-Mar-2026. Apply for renewal on Vahan portal to avoid late fee. - MoRTH,Echallan_Legitimate,Registration Renewal,English
Payment for Fancy Number MH01CY0007 received successfully. Keep the receipt for further process. - Parivahan,Echallan_Legitimate,VAHAN Notification,English
"Dear Citizen, your application for Transfer of Ownership for Vehicle UP16AT0099 is approved. New RC will be dispatched soon. - RTO",Echallan_Legitimate,VAHAN Notification,English
"Dear User, 123456 is the OTP for Vahan service login. Valid for 10 minutes. Please do not share this with anyone. - Parivahan",Echallan_Legitimate,OTP Alert,English
Application for Fancy Number 0001 for Vehicle TN01AA is accepted. Please complete the bidding process online. - RTO,Echallan_Legitimate,VAHAN Notification,English
"Dear Owner, Insurance for your Vehicle WB02K9988 has expired on 27-Feb-2026. Please renew to avoid challan. - Vahan India",Echallan_Legitimate,Registration Renewal,English
"Challan No. RJ1428022611 has been sent to Virtual Court. To pay fine online, visit https://vcourts.gov.in - Traffic Dept",Echallan_Legitimate,E-Challan Notification,English
"Accenture: Hi, your interview for the position of Application Development Associate is scheduled for 03-Mar-2026. Please confirm availability. - ACCENT",Job_Legitimate,Interview_Call,English
Airtel: Your application for 'Network Engineer' (Job ID: 55432) is under review. We will get back to you shortly. - AIRTEL,Job_Legitimate,Application_Status,English
Cashback of Rs. 50.00 has been credited to your Amazon Pay balance for your Mobile Recharge.,Lottery_Legitimate,Amazon_Pay_Cashback,English
Cashback of Rs. 10.00 has been credited to your Amazon Pay balance for your transaction on Feb 25.,Lottery_Legitimate,Amazon_Pay_Cashback,English
Cashback of Rs. 2.00 has been credited to your Amazon Pay balance for your recent order.,Lottery_Legitimate,Amazon_Pay_Cashback,English
Amazon Pay: Rs. 100 Gift Card has been added to your balance. Total balance: Rs. 540.,Lottery_Legitimate,Amazon_Gift_Card,English
Cashback of Rs. 5.00 has been credited for your scan and pay at Mother Dairy.,Lottery_Legitimate,Amazon_Pay_Cashback,English
Congrats! You received Rs. 20 cashback for your Electricity Bill payment on Amazon Pay.,Lottery_Legitimate,Amazon_Pay_Cashback,English
Arriving today: Your Amazon package with 'OnePlus Nord' is out for delivery. Track at: https://www.amazon.in/gp/rw/y,Courier_Legitimate,Out for Delivery,English
Delivered: Your Amazon package with 'Logitech Mouse' was delivered. Track: amazon.in/track,Courier_Legitimate,Delivery Confirmation,English
Delivered: Your Amazon package from order 405-1234567-8901234 was delivered. How was your delivery? amazon.in/feedback,Courier_Legitimate,Delivery Confirmation,English
Your Amazon order for 'Casio Watch' is arriving today. Our driver may call you for directions. - AMZNIN,Courier_Legitimate,Out for Delivery,English
Amazon India: Your virtual interview for 'Operations Manager' is confirmed for 04-Mar-2026. Download Amazon Chime for the call. - AMZNIN,Job_Legitimate,Interview_Call,English
Your vehicle was caught overspeeding by a traffic camera. Pay your pending challan of Rs 500 now at: https://echallaom.vip/in,Echallan_Scam,Overspeeding,English
"Your vehicle e-challan details: Amount Rs 500, Due Date Today. Pay now to avoid penalty.",Echallan_Scam,Due_Date,English
Notification: Pending traffic challan found. Use the Parivahan lookalike portal to clear dues.,Echallan_Scam,Parivahan_Spoof,English
Official RTO Notice: Update your vehicle registration to view your pending fines.,Echallan_Scam,Registration_Update,English
Official Alert: Your vehicle RC will be suspended due to unpaid challans. Resolve now.,Echallan_Scam,RC_Suspension,English
Your vehicle [Number] has an outstanding traffic fine. Pay now to avoid vehicle impoundment.,Echallan_Scam,Impound_Threat,English
Parivahan Alert: Your e-challan is generated. Pay within 24 hours to get a 20% discount.,Echallan_Scam,Discount_Trap,English
Your vehicle has been blacklisted due to 5 unpaid challans. Clear them at [Link].,Echallan_Scam,Blacklisted_Vehicle,English
"Dear Customer, your KYC documents have been successfully verified and updated for your Axis Bank A/c XX5678. Thank you.",KYC_Legitimate,KYC Confirmation,English
"Dear Customer, thank you for choosing Axis Bank. Your KYC details have been successfully updated in our records for Customer ID 987654321.",KYC_Legitimate,KYC Confirmation,English
Axis Bank: Rs 1000.00 debited from A/c XX7766 on 28-02-26 to VPA paytmqr@upi (Ref 605911223). Not you? Call 18604195555.,KYC_Legitimate,UPI Confirmation,English
"Your Axis Bank A/c XX4455 has been credited with Rs 45,000.00 on 28-02-26 by NEFT/Salary. Available balance: Rs 62,300.",KYC_Legitimate,Credit Transaction,English
Axis Bank: 150 EDGE Reward Points credited for your transaction on Feb 20. Total: 600.,Lottery_Legitimate,Credit_Card_Rewards,English
Electricity board alert: Your smart meter recharge is pending. Pay now to avoid automatic disconnection.,Electricity_Scam,Smart_Meter,English
"Your Bank of Baroda A/c XX998 balance is Rs 1,50,450.00. For Mini Statement, give a missed call on 8468001122.",KYC_Legitimate,Balance Alert,English
AWB 123456789 delivered to SELF at MUMBAI on 28-Feb-2026. Thank you for using Blue Dart.,Courier_Legitimate,Delivery Confirmation,English
Blue Dart AWB 44556677 is delayed due to technical reasons. New expected delivery: 02-Mar-2026. - BLUDART,Courier_Legitimate,Order Update,English
Blue Dart AWB 123456789 is out for delivery. Expected by end of day. Contact 18602331234 for queries. - BLUDART,Courier_Legitimate,Out for Delivery,English
"Your Blue Dart shipment 77889900 is out for delivery. To track, visit bluedart.com or call 18602331234.",Courier_Legitimate,Out for Delivery,English
"Your tax payment of Rs. 2,500 towards Self-Assessment Tax for PAN XXXXX1234X has been received. BSR: 0210001, Challan: 10021.",Tax_Legitimate,Tax_Payment_Confirmation,English
"Dear Taxpayer, payment of Rs 5,000 via Challan No 00123 for PAN XXXXX5678X is successful. Use BSR Code 0210567 to download receipt.",Tax_Legitimate,Tax_Payment_Confirmation,English
"Dear Candidate, your interview with Capgemini for 'Cloud Engineer' role is scheduled via Microsoft Teams at 3:00 PM today. - CAPGEM",Job_Legitimate,Interview_Call,English
"Your Rakhi gift delivery was delayed due to an incomplete address, click a link and pay a small re-delivery fee.",Courier_Scam,Festive_Fraud,English
Your gift parcel from 'Brother' is held. Pay customs fees of Rs 1500 to release it.,Courier_Scam,Emotional_Scam,English
Urgent: Your order #12345 has a shipping error. Rectify here: [Phishing Link],Courier_Scam,Shipping_Error,English
Your Rakhi gift is on the way but the address is incomplete. Pay Rs 5 re-delivery fee to receive it: [Link],Courier_Scam,Festive_Fraud,English
"Dear Sneha, your interview with ICICI Bank for 'Privilege Banker' is scheduled tomorrow at 11 AM at BKC Branch. Carry your Aadhar card. - ICICIB",Job_Legitimate,Interview_Call,English
